F-14 Tomcat | Fighter
F-15 Eagle | Fighter
F-22 Raptor | Fighter
F-35 Lightning | Fighter
A/V-8 Harrier | Fighter
A-10 Thunderbolt | Fighter
F-16 Fighting Falcon | Fighter
F/A-18 Hornet | Fighter
JAS-39 Gripen | Fighter
MIG-31 Foxhound | Fighter
Rafale | Fighter
MIG-29 Fulcrum | Fighter
SU-27 Flanker | Fighter
Alpha Jet | Fighter
F-7P Airguard | Fighter
J-10 Anihilator | Fighter
JF-17 Thunder | Fighter
C-160 Transall | Transport
C-130 Hercules | Transport
C-17 Globemaster | Transport
C-5 Galaxy | Transport
AN-12 Cub | Transport
C-23 Sherpa | Transport
AN-2 Colt | Transport
UH-60 Blackhawk | Helicopter
MD-500 Defender | Helicopter
CH-53 Sea Stallion | Helicopter
CH-47 Chinook | Helicopter
AH-64 Apache | Helicopter
AH-1 Cobra | Helicopter
MV-22 Osprey | Helicopter
A129 Mangusta | Helicopter
MI-26 Halo | Helicopter
NH-90 | Helicopter
SA-330 Puma | Helicopter
PAH-2 Tiger | Helicopter
MI-28 Havoc | Helicopter
MI-24 Hind | Helicopter
MI-8 Hip | Helicopter
MI-2 Hoplite | Helicopter
WG-13 Lynx | Helicopter
KA-50 Hokum | Helicopter
Harbin Z-9 | Helicopter
Mirach 100 Meteor | UAV
MQ-5B Hunter | UAV
RQ-2 Pioneer | UAV
RQ-7B Shadow | UAV
MQ-9 Reaper | UAV
MQ-8 Fire Scout | UAV
Schmel-1 Yak-061 | UAV
